sample,geneRLF,nanostring.date,cartridgeID,lane.number,fov.count,fov.counted,binding.density,linPC,linFlag,perFOV,imagingFlag,lod,llod,spcFlag,gd,pergd,averageHK,sn,bdFlag,normFlag,QCFlag
20181129_OTTA3-004-SYD-20H_TWMH01377_03,OTTA2018_C6830,2018-11-29,OTTA3-004-SYD-20H,3,555,555,0.64,1,Passed,100,Passed,21.74867390489563,-3.498673904895629,Passed,55,100,1354950.335910851,62300.365614744514,Passed,Passed,Passed
20181130_OTTA3-005-SYD-20H_DOVE40193_04,OTTA2018_C6830,2018-11-30,OTTA3-005-SYD-20H,4,555,545,0.19,1,Passed,98.1981981981982,Passed,8.957922806867792,-0.7079228068677921,Passed,54,98.18181818181819,140341.0826556722,15666.699265155148,Passed,Passed,Passed
20181130_OTTA3-005-SYD-20H_DOVE43670_01,OTTA2018_C6830,2018-11-30,OTTA3-005-SYD-20H,1,555,539,0.31,1,Passed,97.11711711711712,Passed,18.586446439150215,-3.086446439150217,Passed,55,100,359960.5170568753,19366.828308754048,Passed,Passed,Passed
20181130_OTTA3-005-SYD-20H_TAOC00790_10,OTTA2018_C6830,2018-11-30,OTTA3-005-SYD-20H,10,555,547,0.29,1,Passed,98.55855855855856,Passed,27.222303448913365,-2.9723034489133653,Passed,55,100,517359.64640653477,19004.991527533144,Passed,Passed,Passed
20181130_OTTA3-005-SYD-20H_TNCO00655_06,OTTA2018_C6830,2018-11-30,OTTA3-005-SYD-20H,6,555,550,0.4,1,Passed,99.09909909909909,Passed,17.680613912055666,-1.6806139120556658,Passed,55,100,668672.7670985732,37819.544639376654,Passed,Passed,Passed
20181130_OTTA3-005-SYD-20H_TNCO01125_12,OTTA2018_C6830,2018-11-30,OTTA3-005-SYD-20H,12,555,554,0.48,1,Passed,99.81981981981983,Passed,29.10984119727062,6.890158802729383,Passed,55,100,1011631.7215465516,34752.22398813373,Passed,Passed,Passed
20181130_OTTA3-005-SYD-20H_TNCO01882_09,OTTA2018_C6830,2018-11-30,OTTA3-005-SYD-20H,9,555,542,0.3,1,Passed,97.65765765765767,Passed,26.393461154189666,-2.643461154189664,Passed,54,98.18181818181819,496413.31072215753,18808.192977121438,Passed,Passed,Passed
20181130_OTTA3-005-SYD-20H_TVAN20086_11,OTTA2018_C6830,2018-11-30,OTTA3-005-SYD-20H,11,555,549,0.69,1,Passed,98.91891891891892,Passed,35.76731514413852,2.232684855861475,Passed,55,100,1439473.0223607644,40245.48715943144,Passed,Passed,Passed
20181130_OTTA3-005-SYD-20H_TVAN20150_05,OTTA2018_C6830,2018-11-30,OTTA3-005-SYD-20H,5,555,554,0.22,1,Passed,99.81981981981983,Passed,13.090035768383313,-0.09003576838331195,Passed,55,100,264634.9006889997,20216.514711761058,Passed,Passed,Passed
20181130_OTTA3-005-SYD-20H_TVAN20211_07,OTTA2018_C6830,2018-11-30,OTTA3-005-SYD-20H,7,555,548,0.34,1,Passed,98.73873873873875,Passed,18.50501329994337,0.2449867000566286,Passed,55,100,823246.057220162,44487.73118269962,Passed,Passed,Passed
20181130_OTTA3-005-SYD-20H_TVAN20446_08,OTTA2018_C6830,2018-11-30,OTTA3-005-SYD-20H,8,555,541,0.52,1,Passed,97.47747747747748,Passed,27.122448747131436,-0.8724487471314362,Passed,55,100,1173564.4304046119,43269.117819928855,Passed,Passed,Passed
20181130_OTTA3-005-SYD-20H_TVAN21733_03,OTTA2018_C6830,2018-11-30,OTTA3-005-SYD-20H,3,555,550,0.28,1,Passed,99.09909909909909,Passed,20.76901624672844,-9.769016246728443,Passed,54,98.18181818181819,593339.8664165866,28568.51087061238,Passed,Passed,Passed
20181130_OTTA3-005-SYD-20H_TVAN21894_02,OTTA2018_C6830,2018-11-30,OTTA3-005-SYD-20H,2,555,553,0.21,1,Passed,99.63963963963964,Passed,11.60281777878209,-0.8528177787820903,Passed,55,100,226918.8716308244,19557.22100934721,Passed,Passed,Passed
20181130_OTTA3-006-SYD-20H_TAOC00118_04,OTTA2018_C6830,2018-11-30,OTTA3-006-SYD-20H,4,555,551,0.27,1,Passed,99.27927927927928,Passed,15.05584920138248,-2.3058492013824807,Passed,54,98.18181818181819,648878.1254942591,43098.075493123084,Passed,Passed,Passed
20181130_OTTA3-006-SYD-20H_TAOC01203_03,OTTA2018_C6830,2018-11-30,OTTA3-006-SYD-20H,3,555,554,0.39,1,Passed,99.81981981981983,Passed,16.31832224718437,3.181677752815629,Passed,55,100,1187378.8065298947,72763.53466636375,Passed,Passed,Passed
20181130_OTTA3-006-SYD-20H_TAOC01267_02,OTTA2018_C6830,2018-11-30,OTTA3-006-SYD-20H,2,555,554,0.19,1,Passed,99.81981981981983,Passed,19.716909928306848,-4.466909928306848,Passed,46,83.63636363636363,390921.9738771054,19826.73630394147,Passed,Passed,Passed
20181130_OTTA3-006-SYD-20H_TAOV20190_10,OTTA2018_C6830,2018-11-30,OTTA3-006-SYD-20H,10,555,546,0.37,1,Passed,98.37837837837839,Passed,18.819536351819607,-1.5695363518196075,Passed,55,100,2223534.8716292134,118150.35344450589,Passed,Passed,Passed
20181130_OTTA3-006-SYD-20H_TCNI00327_09,OTTA2018_C6830,2018-11-30,OTTA3-006-SYD-20H,9,555,538,0.15,1,Passed,96.93693693693693,Passed,23.094505411386947,-9.594505411386947,Passed,1,1.8181818181818181,0,0,Passed,Failed,Passed
20181130_OTTA3-006-SYD-20H_THAW09121_07,OTTA2018_C6830,2018-11-30,OTTA3-006-SYD-20H,7,555,551,0.16,1,Passed,99.27927927927928,Passed,17.904182070437372,-4.15418207043737,Passed,39,70.9090909090909,167070.60028900337,9331.372951399064,Passed,Passed,Passed
20181130_OTTA3-006-SYD-20H_TMAY02633_12,OTTA2018_C6830,2018-11-30,OTTA3-006-SYD-20H,12,555,550,0.27,1,Passed,99.09909909909909,Passed,19.964230084422216,-2.9642300844222156,Passed,52,94.54545454545455,723784.7539436457,36254.07796258589,Passed,Passed,Passed
20181130_OTTA3-006-SYD-20H_TRTR30034_05,OTTA2018_C6830,2018-11-30,OTTA3-006-SYD-20H,5,555,550,0.15,1,Passed,99.09909909909909,Passed,14.286253813129044,-4.0362538131290435,Passed,43,78.18181818181819,233901.11660382178,16372.459824902946,Passed,Passed,Passed
20181130_OTTA3-006-SYD-20H_TSRF40154_08,OTTA2018_C6830,2018-11-30,OTTA3-006-SYD-20H,8,555,539,0.15,1,Passed,97.11711711711712,Passed,16.76529498261597,-4.265294982615968,Passed,53,96.36363636363636,50565.22119254845,3016.0651062197126,Passed,Passed,Passed
20181130_OTTA3-006-SYD-20H_TUKO00297_01,OTTA2018_C6830,2018-11-30,OTTA3-006-SYD-20H,1,555,552,0.19,1,Passed,99.45945945945947,Passed,17.8496214548843,-3.8496214548843,Passed,53,96.36363636363636,396790.4949956977,22229.630807499365,Passed,Passed,Passed
20181130_OTTA3-006-SYD-20H_TUKO00494_11,OTTA2018_C6830,2018-11-30,OTTA3-006-SYD-20H,11,555,551,0.21,1,Passed,99.27927927927928,Passed,13.641648189186455,-1.391648189186454,Passed,47,85.45454545454545,786854.3237048702,57680.297335962576,Passed,Passed,Passed
20181130_OTTA3-006-SYD-20H_TUSC01502_06,OTTA2018_C6830,2018-11-30,OTTA3-006-SYD-20H,6,555,554,0.21,1,Passed,99.81981981981983,Passed,24.988941696133374,-6.4889416961333755,Passed,48,87.27272727272727,307944.4632933561,12323.229492388045,Passed,Passed,Passed
20181130_OTTA3-007-SYD-20H_TAOC01208_06,OTTA2018_C6830,2018-11-30,OTTA3-007-SYD-20H,6,555,554,0.37,1,Passed,99.81981981981983,Passed,14.074326235712107,0.42567376428789316,Passed,55,100,1579095.1617636508,112196.85655408958,Passed,Passed,Passed
20181130_OTTA3-007-SYD-20H_TAOC02428_02,OTTA2018_C6830,2018-11-30,OTTA3-007-SYD-20H,2,555,554,0.17,1,Passed,99.81981981981983,Passed,17.054376850247877,-1.5543768502478752,Passed,54,98.18181818181819,293741.8903277912,17223.841885698792,Passed,Passed,Passed
20181130_OTTA3-007-SYD-20H_TAOC02589_03,OTTA2018_C6830,2018-11-30,OTTA3-007-SYD-20H,3,555,550,0.22,1,Passed,99.09909909909909,Passed,10.666522986797286,-1.4165229867972862,Passed,54,98.18181818181819,915880.4720218391,85864.95085188393,Passed,Passed,Passed
20181130_OTTA3-007-SYD-20H_TAOC10016_05,OTTA2018_C6830,2018-11-30,OTTA3-007-SYD-20H,5,555,549,0.28,1,Passed,98.91891891891892,Passed,7.023715784073818,0.9762842159261824,Passed,54,98.18181818181819,1058370.8888609607,150685.3240361466,Passed,Passed,Passed
20181130_OTTA3-007-SYD-20H_TCNI00152_09,OTTA2018_C6830,2018-11-30,OTTA3-007-SYD-20H,9,555,555,0.2,1,Passed,100,Passed,32.201911999287816,-5.951911999287816,Passed,51,92.72727272727272,277485.0284512531,8617.035797669094,Passed,Passed,Passed
20181130_OTTA3-007-SYD-20H_TMAY01169_04,OTTA2018_C6830,2018-11-30,OTTA3-007-SYD-20H,4,555,551,0.14,1,Passed,99.27927927927928,Passed,9.57118725379069,-2.321187253790689,Passed,46,83.63636363636363,175392.79277369467,18325.082157830522,Passed,Passed,Passed
20181130_OTTA3-007-SYD-20H_TRTR30035_08,OTTA2018_C6830,2018-11-30,OTTA3-007-SYD-20H,8,555,552,0.25,1,Passed,99.45945945945947,Passed,25.108324063771697,-4.858324063771697,Passed,54,98.18181818181819,860387.036421121,34267.00381259442,Passed,Passed,Passed
20181130_OTTA3-007-SYD-20H_TSRF40113_07,OTTA2018_C6830,2018-11-30,OTTA3-007-SYD-20H,7,555,554,0.15,1,Passed,99.81981981981983,Passed,9.074747468305834,-0.8247474683058327,Passed,54,98.18181818181819,241352.418756344,26596.047945056718,Passed,Passed,Passed
